id,number,summonedon,stateopeningon,dissolvedon,wikidataid,londongazettecitation,label
1,1,1801-01-22,1801-02-02,1802-06-29,Q21084405,issue 15492,Parliament 1
2,2,1802-11-16,1802-11-23,1806-10-24,Q21084419,issue 15968,Parliament 2
3,3,1806-12-15,1806-12-19,1807-04-29,Q21084420,issue 16025,Parliament 3
4,4,1807-06-22,1807-06-26,1812-09-29,Q21084421,issue 16650,Parliament 4
5,5,1812-11-24,1812-11-30,1818-06-10,Q21084422,issue 17369,Parliament 5
6,6,1819-01-14,1819-01-21,1820-02-29,Q21084423,,Parliament 6
7,7,1820-04-21,1820-04-27,1826-06-02,Q21084424,issue 18254,Parliament 7
8,8,1826-11-14,1826-11-21,1830-07-24,Q21084425,issue 18710,Parliament 8
9,9,1830-10-26,1830-11-02,1831-04-23,Q21084426,issue 18797,Parliament 9
10,10,1831-06-14,1831-06-21,1832-12-03,Q21084427,issue 19000,Parliament 10
11,11,1833-01-29,1833-02-05,1834-12-29,Q21084428,issue 19225,Parliament 11
12,12,1835-02-19,1835-02-24,1837-07-17,Q21084429,issue 19521,Parliament 12
13,13,1837-11-15,1837-11-20,1841-06-23,Q21084430,issue 19992,Parliament 13
14,14,1841-08-19,1841-08-24,1847-07-23,Q21084431,issue 20758,Parliament 14
15,15,1847-11-18,1847-11-23,1852-07-01,Q21084432,issue 21333,Parliament 15
16,16,1852-11-04,1852-11-11,1857-03-21,Q21084433,issue 21980,Parliament 16
17,17,1857-04-30,1857-05-07,1859-04-23,Q21084434,issue 22254,Parliament 17
18,18,1859-05-31,1859-06-07,1865-07-06,Q21084435,issue 22987,Parliament 18
19,19,1866-02-01,1866-02-06,1868-11-11,Q21084436,issue 23440,Parliament 19
20,20,1868-12-10,1869-02-16,1874-01-26,Q21084437,issue 24057,Parliament 20
21,21,1874-03-05,1874-03-19,1880-03-24,Q21084438,issue 24826,Parliament 21
22,22,1880-04-29,1880-05-20,1885-11-18,Q21084439,issue 25531,Parliament 22
23,23,1886-01-12,1886-01-21,1886-06-26,Q21084440,issue 25601,Parliament 23
24,24,1886-08-05,1886-08-19,1892-06-28,Q21084441,issue 26302,Parliament 24
25,25,1892-08-04,1892-08-08,1895-07-08,Q21084442,issue 26641,Parliament 25
26,26,1895-08-12,1895-08-15,1900-09-17,Q21084443,issue 27230,Parliament 26
27,27,1900-12-03,1900-12-06,1906-01-08,Q21084444,issue 27873,Parliament 27
28,28,1906-02-13,1906-02-19,1910-01-10,Q21084445,issue 28328,Parliament 28
29,29,1910-02-15,1910-02-21,1910-11-28,Q21084446,issue 28441,Parliament 29
30,30,1911-01-31,1911-02-06,1918-11-25,Q21084447,issue 31032,Parliament 30
31,31,1919-02-04,1919-02-11,1922-10-26,Q21084448,issue 32761,Parliament 31
32,32,1922-11-20,1922-11-23,1923-11-16,Q21084449,issue 32880,Parliament 32
33,33,1924-01-08,1924-01-15,1924-10-09,Q21084450,issue 32981,Parliament 33
34,34,1924-12-02,1924-12-09,1929-05-10,Q21084451,issue 33494,Parliament 34
35,35,1929-06-25,1929-07-02,1931-10-07,Q21084452,issue 33760,Parliament 35
36,36,1931-11-03,1931-11-10,1935-10-25,Q21084453,issue 34212,Parliament 36
37,37,1935-11-26,1935-12-03,1945-06-15,Q21084454,issue 37133,Parliament 37
38,38,1945-08-01,1945-08-15,1950-02-03,Q21084455,issue 38831,Parliament 38
39,39,1950-03-01,1950-03-06,1951-10-05,Q21084456,issue 39351,Parliament 39
40,40,1951-10-31,1951-11-06,1955-05-06,Q21084457,issue 40471,Parliament 40
41,41,1955-06-07,1955-06-09,1959-09-18,Q21084458,issue 41821,Parliament 41
42,42,1959-10-20,1959-10-27,1964-09-25,Q21084459,issue 43445,Parliament 42
43,43,1964-10-27,1964-11-03,1966-03-10,Q21084460,issue 43921,Parliament 43
44,44,1966-04-18,1966-04-21,1970-05-29,Q21084461,issue 45111,Parliament 44
45,45,1970-06-29,1970-07-02,1974-02-08,Q21084462,issue 46205,Parliament 45
46,46,1974-03-06,1974-03-12,1974-09-20,Q21084463,issue 46348,Parliament 46
47,47,1974-10-22,1974-10-29,1979-04-07,Q21084464,issue 47813,Parliament 47
48,48,1979-05-09,1979-05-15,1983-05-13,Q21084465,issue 49349,Parliament 48
49,49,1983-06-15,1983-06-22,1987-05-18,Q21084466,issue 50922,Parliament 49
50,50,1987-06-17,1987-06-25,1992-03-16,Q21084467,,Parliament 50
51,51,1992-04-27,1992-05-06,1997-04-08,Q21084468,issue 54729,Parliament 51
52,52,1997-05-07,1997-05-14,2001-05-14,Q21084469,issue 56202,Parliament 52
57,57,2017-06-13,2017-06-21,2019-11-05,Q29974940,issue 62821,Parliament 57
56,56,2015-05-18,2015-05-27,2017-05-03,Q21084473,issue 61920,Parliament 56
55,55,2010-05-18,2010-05-25,2015-03-30,Q21084472,issue 61188,Parliament 55
54,54,2005-05-11,2005-05-17,2010-04-12,Q21084471,issue 59388,Parliament 54
53,53,2001-06-13,2001-06-20,2005-04-11,Q21084470,issue 57609,Parliament 53
59,59,2024-07-09,2024-07-17,,Q126063704,,Parliament 59
58,58,2019-12-17,2019-12-19,2024-05-30,Q77685395,issue 64411,Parliament 58
